datetime,10 mins HI
2024-11-30 00:00:00,11.3
2024-11-30 00:10:00,10.9
2024-11-30 00:20:00,11.1
2024-11-30 00:30:00,10.9
2024-11-30 00:40:00,11.3
2024-11-30 00:50:00,11.1
2024-11-30 01:00:00,11.0
2024-11-30 01:10:00,11.2
2024-11-30 01:20:00,11.2
2024-11-30 01:30:00,11.2
2024-11-30 01:40:00,11.2
2024-11-30 01:50:00,11.1
2024-11-30 02:00:00,11.8
2024-11-30 02:10:00,11.6
2024-11-30 02:20:00,11.5
2024-11-30 02:30:00,11.4
2024-11-30 02:40:00,11.2
2024-11-30 02:50:00,11.3
2024-11-30 03:00:00,11.8
2024-11-30 03:10:00,11.9
2024-11-30 03:20:00,11.9
2024-11-30 03:30:00,11.9
2024-11-30 03:40:00,11.8
2024-11-30 03:50:00,11.9
2024-11-30 04:00:00,12.0
2024-11-30 04:10:00,11.8
2024-11-30 04:20:00,11.9
2024-11-30 04:30:00,11.9
2024-11-30 04:40:00,11.9
2024-11-30 04:50:00,12.0
2024-11-30 05:00:00,11.7
2024-11-30 05:10:00,11.9
2024-11-30 05:20:00,11.3
2024-11-30 05:30:00,11.6
2024-11-30 05:40:00,11.6
2024-11-30 05:50:00,11.4
2024-11-30 06:00:00,10.9
2024-11-30 06:10:00,11.1
2024-11-30 06:20:00,11.0
2024-11-30 06:30:00,10.6
2024-11-30 06:40:00,10.9
2024-11-30 06:50:00,10.5
2024-11-30 07:00:00,11.2
2024-11-30 07:10:00,11.7
2024-11-30 07:20:00,11.3
2024-11-30 07:30:00,10.6
2024-11-30 07:40:00,10.7
2024-11-30 07:50:00,11.8
2024-11-30 08:00:00,12.2
2024-11-30 08:10:00,13.8
2024-11-30 08:20:00,14.2
2024-11-30 08:30:00,13.7
2024-11-30 08:40:00,13.8
2024-11-30 08:50:00,12.0
2024-11-30 09:00:00,14.3
2024-11-30 09:10:00,14.5
2024-11-30 09:20:00,15.6
2024-11-30 09:30:00,15.4
2024-11-30 09:40:00,14.4
2024-11-30 09:50:00,14.3
2024-11-30 10:00:00,16.6
2024-11-30 10:10:00,15.9
2024-11-30 10:20:00,15.8
2024-11-30 10:30:00,16.0
2024-11-30 10:40:00,17.1
2024-11-30 10:50:00,17.0
2024-11-30 11:00:00,17.3
2024-11-30 11:10:00,17.5
2024-11-30 11:20:00,17.6
